4a Site1,4a Site2,4b Site1,4b Site2,4b Site3,4e Site1,4e Site2,4a Site3,4g Site1,4g Site2,4g Site3,5g Site2,5g Site3
31.408663,-47.414493,47.358806,-101.119466,-0.608494,27.956069,15.764918,-1.033675,-75.839241,46.630573,12.298462,79.681883,22.085512
-72.685875,-55.261102,-3.457613,-24.112232,-16.555769,40.402233,76.505573,16.760831,54.647111,-37.011301,-48.425463,-47.1786,90.750212
-131.514769,-7.341363,-56.580143,66.979989,-50.945718,13.264978,43.045812,-13.356515,20.339139,45.305557,-7.826055,87.562669,6.354771
-40.815942,21.365405,-79.251205,23.536481,-37.233571,-19.870221,59.350631,-40.464134,12.117061,7.940775,-11.902439,-15.779736,-44.748209
-123.879914,31.971508,-40.180441,34.256109,-70.051139,-26.961112,-47.22401,-22.740611,-15.74771,6.727372,58.198412,-18.212995,-34.739367
24.697543,-48.759346,12.453334,-7.843741,-76.75724,-29.690014,6.453239,-33.882313,4.035037,53.511383,10.160129,16.227622,16.376519
-43.737,-22.853658,-13.800577,-31.917255,-74.08761,-52.248746,48.254339,9.009105,7.812671,32.317341,-43.248006,4.961879,-2.271217
-68.399649,-35.38634,-26.922872,14.366768,5.50656,58.577466,44.793858,24.904756,-50.879276,53.777629,-6.352381,-7.289739,48.439564
-3.361535,-15.574913,-43.181564,4.078535,-16.26634,21.414878,57.430266,-11.90459,-23.665302,-4.645204,34.390188,-18.503858,34.973587
-13.740588,29.81047,-58.059314,-22.393583,-32.397406,-45.191554,-4.836165,47.412342,-22.186131,-4.926268,-31.31617,-24.18441,30.691902
29.911089,-5.670036,0.324084,-51.204555,-28.281348,0.889797,42.256873,-0.834349,-35.757268,50.127382,-32.01166,37.196526,-5.417413
-62.527419,-23.749191,-28.879565,-26.457778,-65.652583,45.285959,-19.253601,41.137397,24.926027,35.422429,60.526989,14.745105,36.143492
11.021485,-22.99658,-18.272267,3.254702,-70.973679,58.669242,0.486604,47.658034,69.865914,-60.176854,-73.898083,-27.218276,-55.310336
-31.220331,121.644786,-18.633874,-8.746205,25.552924,43.532894,85.126781,-16.397312,-44.611979,24.756098,0.663464,18.210366,-32.312083
-14.410266,-17.645848,-31.463872,31.444752,7.4807,-17.579645,-13.105565,-14.232928,-62.859629,47.308616,-37.075831,-9.475872,-52.512124
-86.996478,-22.398124,-94.214995,-55.434855,12.463372,-12.773116,4.597165,1.77338,57.738815,25.670034,-45.368653,35.664536,3.146913
-13.912907,-29.962474,-29.556413,-46.928606,-15.585429,112.767848,25.529024,8.875026,-96.690318,83.297475,33.534329,-26.070598,24.611981
-66.497448,35.246286,-40.329338,-1.498052,-8.470638,9.56239,32.297504,17.669748,-36.576799,15.372958,-11.770511,64.016628,-4.6366
-21.06546,60.355626,-3.23367,-8.451518,-86.94581,20.948589,17.540449,-9.966061,-34.815369,4.708539,1.405081,25.726677,33.594079
35.143277,-69.984219,-25.007765,75.904488,41.144328,-11.243994,10.603713,-19.739966,-37.256037,-19.733513,-32.875406,11.986089,-92.300605
-37.198199,26.598788,-6.14947,6.401854,-51.408422,47.148008,-10.546592,55.908314,-3.05681,11.828349,-24.89663,-47.676437,-18.352332
28.76365,-71.438773,-57.25484,11.306851,-2.255682,79.618787,16.764894,35.934367,-17.025882,-0.771253,-42.693765,8.681436,28.655383
-33.497762,-57.298338,-142.785531,-0.96078,-40.62761,-17.299537,4.365335,35.299822,-64.126329,14.796012,-58.372643,50.293726,-75.621273
-14.030256,49.956736,-30.098704,95.91309,-14.223846,57.618359,-13.273821,-0.542052,-32.762837,-5.698716,-17.381275,62.12805,34.517097
-12.641666,-1.153414,-21.36182,-4.40716,-6.186993,17.33467,3.689443,-23.888289,2.335747,22.292486,-14.998445,30.83339,38.447452
-59.490446,-40.453379,-54.332348,14.525703,-24.755142,66.298122,14.450657,-8.051432,6.649697,71.797512,23.882792,-8.488563,39.745222
-49.911565,84.447543,-101.882593,-66.039524,-41.711714,14.917902,-27.43242,-47.76654,-27.033051,76.387507,-81.637142,26.852845,11.616834
10.793718,70.927313,-92.771196,46.780187,39.032763,-49.065266,-28.832482,1.546569,-34.007788,32.085272,-60.120928,-36.449412,40.020072
-86.915218,-31.621373,5.921703,67.323671,-49.033479,10.847732,49.845601,-46.231682,53.839052,43.868689,35.557703,-51.794885,90.723205
-56.949159,86.674545,-66.070833,-64.684155,-35.698713,-29.282997,5.893979,-24.500846,-44.81011,14.603617,12.101526,23.337633,-38.130777
